experiment,experiment_label,layer,component,type,param_name,frobenius_norm,spectral_norm,nuclear_norm,effective_rank,stable_rank,spectral_entropy,gini_coefficient,rank_90,rank_95,rank_99,sv_at_rank_90,sv_at_rank_95,sv_at_rank_99,sv_sum_at_rank_90,sv_sum_at_rank_95,sv_sum_at_rank_99,top1_energy,top5_energy,top10_energy,top50_energy,num_sv
adamw_sft,AdamW + SFT,-1,embed,embed,model.embed_tokens.weight,0.1988017969560381,0.11522216349840164,5.150521290546749,671.2151682553605,2.976929570627583,0.6222699749499518,0.24110646690271698,810,1107,1427,0.002759260358288884,0.0024032017681747675,0.0020187078043818474,3.469347703503445,4.234641523798928,4.943904194282368,0.33591657991061724,0.49342064877573544,0.5411627600209967,0.6410737120063671,1536
adamw_sft,AdamW + SFT,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,0.0739077410600329,0.017010996118187904,2.5964956906391308,1234.227887598654,18.87645191863295,0.9168138193524832,0.1881118868112659,1111,1292,1477,0.0012986910296604037,0.0011612483067438006,0.0009975309949368238,2.116898079868406,2.3395081696799025,2.539903908735141,0.05297605738146689,0.11831658128498193,0.16314204098189933,0.2691160064380367,1536
adamw_sft,AdamW + SFT,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,0.0712269683865553,0.018066462129354477,2.487724308099132,1219.8756981827885,15.543280692534136,0.9110471806231724,0.19302780326492153,1101,1284,1473,0.0012443455634638667,0.0011112288339063525,0.0009509379742667079,2.0207216325215995,2.2361920340918005,2.431667596101761,0.06433648209675114,0.12723743458308134,0.17023299029704297,0.2747548413970048,1536
adamw_sft,AdamW + SFT,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,0.07728911034566001,0.021964523941278458,2.6255330061540008,1153.9801753540958,12.382063500597946,0.8870955864839835,0.20685181693819477,1068,1263,1466,0.0013118917122483253,0.0011654227273538709,0.0009891141671687365,2.100303600775078,2.3418390452861786,2.5613219420192763,0.08076198284330466,0.1569439344219636,0.2052102289213037,0.3219053795133164,1536
adamw_sft,AdamW + SFT,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,0.01115484926752866,0.003875692607834935,0.15711227741849143,198.37769310961454,8.283783941836193,0.8846649904124125,0.22656621648434072,173,206,242,0.00046738062519580126,0.0004056269826833159,0.00032501769601367414,0.12547073361929506,0.13980669897864573,0.15295567433349788,0.120717779099673,0.23932009330316983,0.29893452016305,0.5447194776814085,256
adamw_sft,AdamW + SFT,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,0.03627077726738841,0.013718025758862495,0.9881139386443714,742.1647555391168,6.9908582591717945,0.7717185840072365,0.4307399159275729,598,782,1089,0.0006735501810908318,0.0005236064898781478,0.0002994914539158344,0.6867742078029551,0.7965632710256614,0.9220683543535415,0.14304395296357642,0.26527716191897965,0.327781595376873,0.4673780661250866,1536
adamw_sft,AdamW + SFT,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,0.027737571212125996,0.009121608920395374,0.7631440167547494,756.9656054288248,9.246853215770445,0.8069940530592685,0.4703444675352133,583,742,1010,0.0005541896680369973,0.00042961808503605425,0.00024428192409686744,0.5476651543285698,0.625628852576483,0.7153522938606329,0.10814489823354251,0.20579549894544388,0.2621263383589169,0.39256720903165643,1536
adamw_sft,AdamW + SFT,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,0.014680689500948701,0.0056219627149403095,0.20321189213427715,191.60433583959963,6.818941814721742,0.8623961108330601,0.22120425275906008,175,209,245,0.0006015978287905455,0.0005281702033244073,0.00044493997120298445,0.16175731405382976,0.18095252756029367,0.198538997763535,0.1466503201187392,0.27780882637423127,0.3442445716817122,0.5724889508723001,256
adamw_sft,AdamW + SFT,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,0.07124585688677593,0.013189714401960373,2.5384372720727697,1269.44428129875,29.177524653372576,0.931845099614957,0.18437268544393914,1125,1300,1479,0.001268391264602542,0.001137709361501038,0.0009806251619011164,2.0838155752280727,2.2944096316350624,2.484676212305203,0.034272955361359346,0.08707440449067726,0.12956331919924396,0.2476729585717362,1536
adamw_sft,AdamW + SFT,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,0.06771858649150268,0.013210989534854889,2.416903134513632,1273.8043308736294,26.275141995052255,0.932402296226207,0.18281887551293274,1128,1301,1479,0.0012099890736863017,0.0010867780074477196,0.0009368867613375187,1.9870841606752947,2.185824264306575,2.366512284032069,0.038058785759875445,0.09100081821188216,0.13552872634828414,0.24085819728155797,1536
adamw_sft,AdamW + SFT,1,up_proj,mlp,model.layers.1.mlp.up_proj.weight,0.07195083404399306,0.014969202689826488,2.527503717070431,1233.9908537526408,23.103316474796987,0.9195474640259885,0.19220397069522877,1109,1289,1475,0.0012632423313334584,0.0011305895168334246,0.0009710036683827639,2.060411594575271,2.275828253477812,2.472027287003584,0.043283829016101776,0.10707148405194925,0.15446766389659905,0.27094419578157164,1536
adamw_sft,AdamW + SFT,1,k_proj,attn,model.layers.1.self_attn.k_proj.weight,0.013027547891535485,0.005271388217806816,0.1735399855824653,177.4490821450404,6.107667043680234,0.8329878842892706,0.2645287666749798,157,195,240,0.0005094432272017002,0.0004316914128139615,0.00034634891198948026,0.13307313073892146,0.15091508044861257,0.16841089533409104,0.16372863694898476,0.3108746259431429,0.37872003962096784,0.6274308030925848,256
adamw_sft,AdamW + SFT,1,o_proj,attn,model.layers.1.self_attn.o_proj.weight,0.03346377963390965,0.010754196904599667,0.9374150374932242,784.7184226930879,9.68264513463945,0.7955386302896811,0.4226392557234435,625,805,1104,0.0006269118748605251,0.0004881007189396769,0.0002800354268401861,0.6631762691540644,0.7632158805790823,0.8774079036375042,0.10327756373333583,0.2410492222355982,0.2949966031447975,0.4347075340864687,1536
adamw_sft,AdamW + SFT,1,q_proj,attn,model.layers.1.self_attn.q_proj.weight,0.02851524172029171,0.007872866466641426,0.8384152379653358,864.4984341658542,13.118625794817628,0.8378742949026923,0.41296953475942555,662,836,1122,0.0005439181695692241,0.000424542318796739,0.0002442196127958596,0.6093197326990776,0.6933157648600172,0.7884077846247237,0.07622749635827246,0.17291445839888142,0.2199569151689789,0.36262024935059184,1536
adamw_sft,AdamW + SFT,1,v_proj,attn,model.layers.1.self_attn.v_proj.weight,0.016373945162097458,0.007365453988313675,0.21407175113563426,170.92754705519644,4.942055536013597,0.8024878307756849,0.2430281100496221,164,201,242,0.0006375766824930906,0.000558594532776624,0.0004620536637958139,0.16507731995079666,0.18714561755768955,0.20799541464657523,0.20234495397974192,0.36691936431999334,0.43567857633956525,0.6379610060510613,256
adamw_sft,AdamW + SFT,10,down_proj,mlp,model.layers.10.mlp.down_proj.weight,0.06807034480669322,0.012978160753846169,2.409165642457083,1252.6144604164635,27.509937425068618,0.9251670503630278,0.1889022361962549,1115,1294,1478,0.0012008270714432001,0.0010743743041530252,0.000921392987947911,1.9698442405788228,2.173454128438607,2.3577097864472307,0.0363505007135619,0.11144551379348737,0.14615821515655394,0.2534963048200152,1536
adamw_sft,AdamW + SFT,10,gate_proj,mlp,model.layers.10.mlp.gate_proj.weight,0.06308034290974399,0.010745523497462273,2.267204162722919,1291.7937218932439,34.46140142244316,0.9385781512590581,0.17990651931082824,1135,1306,1481,0.0011342427460476756,0.0010195873910561204,0.0008816445479169488,1.869532136595808,2.053782734205015,2.2207083069952205,0.029017972535172208,0.08661041283267198,0.12048690400135582,0.2277802676027721,1536
adamw_sft,AdamW + SFT,10,up_proj,mlp,model.layers.10.mlp.up_proj.weight,0.06580649389666918,0.01338169351220131,2.3269113216083497,1250.3228268431715,24.18328798768798,0.9232986599757861,0.1861079142736084,1120,1297,1478,0.0011648975778371096,0.0010452636051923037,0.0008993282681331038,1.9046962548745796,2.1002816365798935,2.277006888296455,0.041350870092979615,0.11306799313687761,0.14817169399110128,0.25852010690253036,1536
adamw_sft,AdamW + SFT,10,k_proj,attn,model.layers.10.self_attn.k_proj.weight,0.010071393276785686,0.002470199018716812,0.14819636070751585,216.5189774401581,16.62322259257836,0.9291947127833922,0.1939511513173362,187,216,247,0.00043706368887797,0.0003910355153493583,0.0003325202560517937,0.12201083829859272,0.13401730731129646,0.145319021132309,0.060156807407876614,0.1653663385710388,0.23065013890865363,0.4844544033053769,256
adamw_sft,AdamW + SFT,10,o_proj,attn,model.layers.10.self_attn.o_proj.weight,0.0285561262363079,0.007394664455205202,0.8341994998413611,853.3776489453959,14.912884091079142,0.832238937352412,0.4139767288268146,657,832,1120,0.000542599125765264,0.0004236424283590168,0.00024286762345582247,0.6039370408980176,0.6882777258288115,0.7838589319580933,0.06705611026630308,0.1864584658378794,0.2309328004446389,0.37315079839558374,1536
adamw_sft,AdamW + SFT,10,q_proj,attn,model.layers.10.self_attn.q_proj.weight,0.026058826991172186,0.004676673095673323,0.785417922020418,908.4308805048278,31.048147891655233,0.8637551176617725,0.40970681852120694,680,850,1131,0.000499945308547467,0.0003914476837962866,0.0002258829917991534,0.5781471544760279,0.6537209122616332,0.7400560124515323,0.032208040347191484,0.11874279567209756,0.1707224815676331,0.32914257755326326,1536
adamw_sft,AdamW + SFT,10,v_proj,attn,model.layers.10.self_attn.v_proj.weight,0.011162789028570626,0.002581051317974925,0.16504677466582507,218.60930818372097,18.704760624826932,0.9334410473602505,0.189119531081418,188,217,247,0.0004884959198534489,0.00043848156929016113,0.0003763360728044063,0.1361603737459518,0.14955561948590912,0.16177916736342013,0.05346232545059649,0.16315099878754277,0.22066107355476616,0.4727336565014518,256
adamw_sft,AdamW + SFT,11,down_proj,mlp,model.layers.11.mlp.down_proj.weight,0.06903554183178387,0.0141343604773283,2.4356365077546798,1244.7423749202676,23.85575408253731,0.9216959966665308,0.1891520923646015,1112,1292,1477,0.0012159058824181557,0.0010859275935217738,0.0009327232255600393,1.9881156438495964,2.1953158617252484,2.3827086659148335,0.04191860783524809,0.11776128700424066,0.15428918519904555,0.2586480481027923,1536
adamw_sft,AdamW + SFT,11,gate_proj,mlp,model.layers.11.mlp.gate_proj.weight,0.06390687454195394,0.011604611761868,2.2832994793425314,1276.5287449568484,30.327312443145555,0.9328900055428982,0.18168153151298116,1130,1304,1481,0.0011427165009081364,0.0010270708007737994,0.0008861742680892348,1.8778117793845013,2.066590967355296,2.2363753046956845,0.03297357792170653,0.09849734672187015,0.13293933693748683,0.23922805272418438,1536
adamw_sft,AdamW + SFT,11,up_proj,mlp,model.layers.11.mlp.up_proj.weight,0.06664403249736874,0.014447786845266819,2.3442554679349996,1237.3351212144723,21.277464942254568,0.9178441029758236,0.18676472086626683,1116,1295,1478,0.001174293109215796,0.001053491374477744,0.0009066356578841805,1.9144053691998124,2.113801166880876,2.29375361232087,0.04699808002099519,0.1231149993051535,0.15994258672122114,0.26838366314982304,1536
adamw_sft,AdamW + SFT,11,k_proj,attn,model.layers.11.self_attn.k_proj.weight,0.009606348322198241,0.0024040299467742443,0.1408515932271257,214.98436070635458,15.967499572117852,0.9250094199640365,0.19474010963985666,186,216,246,0.0004183766432106495,0.00037064647767692804,0.00031583019881509244,0.11566492030397058,0.12747609126381576,0.13782610691851005,0.06262721320163248,0.1750176128977017,0.23868985679177157,0.48789905888952406,256
adamw_sft,AdamW + SFT,11,o_proj,attn,model.layers.11.self_attn.o_proj.weight,0.0287687878668757,0.007940798066556454,0.8308097478386856,833.9884558450223,13.125468786783214,0.8229717295080562,0.41722767084022183,648,824,1115,0.0005436560604721308,0.00042480742558836937,0.0002434162306599319,0.5980297536007129,0.6830106566194445,0.7799090738117229,0.07618775498570818,0.2003759654380375,0.2469004545491016,0.3906325722052256,1536
