experiment,experiment_label,layer,component,type,param_name,condition_number_base,condition_number_exp,condition_number_diff,condition_number_log_ratio
adamw_sft,AdamW + SFT,-1,embed,embed,model.embed_tokens.weight,69.18641058154057,69.23216095451251,0.045750372971937736,0.0002870877083872561
adamw_sft,AdamW + SFT,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,10.546793843948734,10.547536334352401,0.0007424904036668067,3.057309547982102e-05
adamw_sft,AdamW + SFT,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,50.790417231602824,50.785736919014106,-0.004680312588718039,-4.002187224548633e-05
adamw_sft,AdamW + SFT,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,30.557746350661454,30.558548684868214,0.0008023342067602357,1.1402828605895432e-05
adamw_sft,AdamW + SFT,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,18.73935745084044,18.74699008501541,0.007632634174967734,0.0001768543039415775
adamw_sft,AdamW + SFT,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,38555.79005042446,28150.390748642993,-10405.399301781468,-0.13660517915835152
adamw_sft,AdamW + SFT,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,184976.8751259078,193062.84677043132,8085.971644523524,0.018581267210429978
adamw_sft,AdamW + SFT,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,7.7755061789352835,7.7816688749723,0.0061626960370162465,0.0003440759666513501
adamw_sft,AdamW + SFT,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,8.998430005007657,8.998735485276951,0.00030548026929366756,1.4743254471852894e-05
adamw_sft,AdamW + SFT,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,33.91668364456576,33.914483491141006,-0.002200153424752216,-2.817331714591876e-05
adamw_sft,AdamW + SFT,1,up_proj,mlp,model.layers.1.mlp.up_proj.weight,37.735381088331756,37.732654321705844,-0.0027267666259120915,-3.13833450984216e-05
adamw_sft,AdamW + SFT,1,k_proj,attn,model.layers.1.self_attn.k_proj.weight,30.087513316132128,30.08564953523212,-0.001863780900009715,-2.6903347680419793e-05
adamw_sft,AdamW + SFT,1,o_proj,attn,model.layers.1.self_attn.o_proj.weight,49034.98587834326,119232.80087650087,70197.81499815761,0.38588969144575674
adamw_sft,AdamW + SFT,1,q_proj,attn,model.layers.1.self_attn.q_proj.weight,1074758.1049613138,387316.3611040371,-687441.7438572766,-0.44324488596326217
adamw_sft,AdamW + SFT,1,v_proj,attn,model.layers.1.self_attn.v_proj.weight,3.341969736117407,3.341458259881598,-0.0005114762358093827,-6.647226764567367e-05
adamw_sft,AdamW + SFT,10,down_proj,mlp,model.layers.10.mlp.down_proj.weight,13.491719978091211,13.491165586325856,-0.0005543917653554331,-1.78460738726789e-05
adamw_sft,AdamW + SFT,10,gate_proj,mlp,model.layers.10.mlp.gate_proj.weight,16.210019773701827,16.208397579466588,-0.0016221942352387941,-4.346356565483246e-05
adamw_sft,AdamW + SFT,10,up_proj,mlp,model.layers.10.mlp.up_proj.weight,8.538043575643336,8.53717971880006,-0.0008638568432761673,-4.394299905070063e-05
adamw_sft,AdamW + SFT,10,k_proj,attn,model.layers.10.self_attn.k_proj.weight,24.034098760920294,24.01796932079155,-0.01612944012874351,-0.00029155569726057283
adamw_sft,AdamW + SFT,10,o_proj,attn,model.layers.10.self_attn.o_proj.weight,15508.710116684786,14873.179544995464,-635.5305716893217,-0.018171857718128685
adamw_sft,AdamW + SFT,10,q_proj,attn,model.layers.10.self_attn.q_proj.weight,12813.850813777506,12671.49873443075,-142.352079346756,-0.004851678835095844
adamw_sft,AdamW + SFT,10,v_proj,attn,model.layers.10.self_attn.v_proj.weight,3.2994636012714755,3.2993100257636407,-0.00015357550783479113,-2.0214967019617143e-05
