experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16
adamw_sft,AdamW + SFT,-1,embed,embed,model.embed_tokens.weight,233373696,221369686,12004010,0.0514368594479474,22110255,211263441,0.9052581530010991
adamw_sft,AdamW + SFT,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,13762560,13762259,301,2.1870930989598136e-05,3728319,10034241,0.7290969848632812
adamw_sft,AdamW + SFT,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,13762560,13762234,326,2.368745349701218e-05,3298910,10463650,0.7602982293991816
adamw_sft,AdamW + SFT,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,13762560,13762285,275,1.9981747581887532e-05,3943363,9819197,0.71347169421968
adamw_sft,AdamW + SFT,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,393216,393207,9,2.288818359375e-05,62298,330918,0.8415679931640625
adamw_sft,AdamW + SFT,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,2359296,2359254,42,1.780192057287966e-05,878348,1480948,0.6277075873480903
adamw_sft,AdamW + SFT,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,2359296,2356107,3189,0.0013516743977864953,448335,1910961,0.8099708557128906
adamw_sft,AdamW + SFT,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,393216,393211,5,1.271565755212034e-05,149046,244170,0.6209564208984375
adamw_sft,AdamW + SFT,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,13762560,13762227,333,2.419607979908811e-05,3679393,10083167,0.7326519920712425
adamw_sft,AdamW + SFT,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,13762560,13762196,364,2.6448567708281523e-05,3169936,10592624,0.7696695963541667
adamw_sft,AdamW + SFT,1,up_proj,mlp,model.layers.1.mlp.up_proj.weight,13762560,13762233,327,2.376011439730874e-05,3675047,10087513,0.732967776343936
adamw_sft,AdamW + SFT,1,k_proj,attn,model.layers.1.self_attn.k_proj.weight,393216,393199,17,4.323323567712034e-05,74443,318773,0.8106816609700521
adamw_sft,AdamW + SFT,1,o_proj,attn,model.layers.1.self_attn.o_proj.weight,2359296,2359248,48,2.034505208337034e-05,767402,1591894,0.6747326321072049
adamw_sft,AdamW + SFT,1,q_proj,attn,model.layers.1.self_attn.q_proj.weight,2359296,2359216,80,3.3908420138839546e-05,506002,1853294,0.7855283949110243
adamw_sft,AdamW + SFT,1,v_proj,attn,model.layers.1.self_attn.v_proj.weight,393216,393209,7,1.780192057287966e-05,158389,234827,0.5971959431966145
adamw_sft,AdamW + SFT,10,down_proj,mlp,model.layers.10.mlp.down_proj.weight,13762560,13762210,350,2.543131510412966e-05,3560942,10201618,0.7412587483723958
adamw_sft,AdamW + SFT,10,gate_proj,mlp,model.layers.10.mlp.gate_proj.weight,13762560,13762206,354,2.5721958705315906e-05,3108989,10653571,0.7740980602446057
adamw_sft,AdamW + SFT,10,up_proj,mlp,model.layers.10.mlp.up_proj.weight,13762560,13762175,385,2.797444661462034e-05,3346403,10416157,0.7568473452613467
adamw_sft,AdamW + SFT,10,k_proj,attn,model.layers.10.self_attn.k_proj.weight,393216,393197,19,4.831949869787966e-05,86100,307116,0.781036376953125
