experiment,experiment_label,layer,component,type,param_name,condition_number_base,condition_number_exp,condition_number_diff,condition_number_log_ratio
adamw_sft,AdamW + SFT,-1,embed,embed,model.embed_tokens.weight,69.18641058154057,69.23202130501501,0.045610723474439396,0.0002862116839140322
adamw_sft,AdamW + SFT,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,10.546793843948734,10.549666444186752,0.0028726002380174975,0.00011827144675042899
adamw_sft,AdamW + SFT,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,50.790417231602824,50.78346410782791,-0.006953123774913195,-5.945826333169588e-05
adamw_sft,AdamW + SFT,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,30.557746350661454,30.558490326548075,0.0007439758866212287,1.0573446266005315e-05
adamw_sft,AdamW + SFT,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,18.73935745084044,18.744832732479857,0.005475281639416352,0.0001268740025139281
adamw_sft,AdamW + SFT,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,38555.79005042446,29515.764683146535,-9040.025367277925,-0.11603556748397233
adamw_sft,AdamW + SFT,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,184976.8751259078,187198.48608457096,2221.6109586631646,0.005184893685885707
adamw_sft,AdamW + SFT,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,7.7755061789352835,7.779272305668544,0.0037661267332609327,0.00021030297435395583
adamw_sft,AdamW + SFT,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,8.998430005007657,8.999452476085352,0.0010224710776949308,4.9345088000567265e-05
adamw_sft,AdamW + SFT,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,33.91668364456576,33.915979028277214,-0.0007046162885444573,-9.022525548214928e-06
adamw_sft,AdamW + SFT,1,up_proj,mlp,model.layers.1.mlp.up_proj.weight,37.735381088331756,37.73492931254217,-0.0004517757895854402,-5.1994945147414555e-06
adamw_sft,AdamW + SFT,1,k_proj,attn,model.layers.1.self_attn.k_proj.weight,30.087513316132128,30.087842126569207,0.0003288104370788858,4.746147567125816e-06
adamw_sft,AdamW + SFT,1,o_proj,attn,model.layers.1.self_attn.o_proj.weight,49034.98587834326,1940991.5244582652,1891956.538579922,1.597517584437426
adamw_sft,AdamW + SFT,1,q_proj,attn,model.layers.1.self_attn.q_proj.weight,1074758.1049613138,507857.19630058797,-566900.9086607258,-0.3255691181473843
adamw_sft,AdamW + SFT,1,v_proj,attn,model.layers.1.self_attn.v_proj.weight,3.341969736117407,3.3412240622509044,-0.0007456738665028162,-9.691236155518147e-05
adamw_sft,AdamW + SFT,10,down_proj,mlp,model.layers.10.mlp.down_proj.weight,13.491719978091211,13.491566845864366,-0.00015313222684554262,-4.9293091353528385e-06
adamw_sft,AdamW + SFT,10,gate_proj,mlp,model.layers.10.mlp.gate_proj.weight,16.210019773701827,16.209635997762952,-0.0003837759388751749,-1.0282143260483818e-05
adamw_sft,AdamW + SFT,10,up_proj,mlp,model.layers.10.mlp.up_proj.weight,8.538043575643336,8.537082493516353,-0.0009610821269827596,-4.888897020785491e-05
