experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16
adamw_fp32,AdamW + FP32,-1,embed,embed,model.embed_tokens.weight,233373696,233367960,5736,2.4578605465452874e-05,52757274,180616422,0.7739365022525933
adamw_fp32,AdamW + FP32,0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,13762560,13762061,499,3.6257789248539396e-05,2329727,11432833,0.8307199387323289
adamw_fp32,AdamW + FP32,0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,13762560,13761936,624,4.534040178572063e-05,2017618,11744942,0.8533980596633184
adamw_fp32,AdamW + FP32,0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,13762560,13762067,493,3.5821823846760026e-05,2436495,11326065,0.8229620797293526
adamw_fp32,AdamW + FP32,0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,393216,393185,31,7.883707682287966e-05,36127,357089,0.9081242879231771
adamw_fp32,AdamW + FP32,0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,2359296,2359241,55,2.3312038845535454e-05,549447,1809849,0.767114003499349
adamw_fp32,AdamW + FP32,0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,2359296,2358317,979,0.0004149542914496651,260614,2098682,0.8895373874240451
adamw_fp32,AdamW + FP32,0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,393216,393201,15,3.814697265625e-05,95738,297478,0.7565256754557291
adamw_fp32,AdamW + FP32,1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,13762560,13762062,498,3.6185128348242834e-05,2360676,11401884,0.8284711565290178
adamw_fp32,AdamW + FP32,1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,13762560,13761942,618,4.490443638394126e-05,1992996,11769564,0.8551871163504464
adamw_fp32,AdamW + FP32,1,up_proj,mlp,model.layers.1.mlp.up_proj.weight,13762560,13762027,533,3.8728259858622494e-05,2322888,11439672,0.8312168666294643
adamw_fp32,AdamW + FP32,1,k_proj,attn,model.layers.1.self_attn.k_proj.weight,393216,393191,25,6.357828776037966e-05,39345,353871,0.8999404907226562
adamw_fp32,AdamW + FP32,1,o_proj,attn,model.layers.1.self_attn.o_proj.weight,2359296,2359206,90,3.814697265625e-05,484306,1874990,0.794724358452691
adamw_fp32,AdamW + FP32,1,q_proj,attn,model.layers.1.self_attn.q_proj.weight,2359296,2359162,134,5.6796603732589546e-05,298662,2060634,0.8734105428059896
adamw_fp32,AdamW + FP32,1,v_proj,attn,model.layers.1.self_attn.v_proj.weight,393216,393207,9,2.288818359375e-05,94632,298584,0.75933837890625
adamw_fp32,AdamW + FP32,10,down_proj,mlp,model.layers.10.mlp.down_proj.weight,13762560,13762072,488,3.545851934527722e-05,2659150,11103410,0.8067837669735863
adamw_fp32,AdamW + FP32,10,gate_proj,mlp,model.layers.10.mlp.gate_proj.weight,13762560,13762014,546,3.9672851562477796e-05,2256524,11506036,0.8360389346168154
adamw_fp32,AdamW + FP32,10,up_proj,mlp,model.layers.10.mlp.up_proj.weight,13762560,13762054,506,3.676641555061533e-05,2449020,11313540,0.822052001953125
adamw_fp32,AdamW + FP32,10,k_proj,attn,model.layers.10.self_attn.k_proj.weight,393216,393195,21,5.340576171875e-05,59784,333432,0.84796142578125
adamw_fp32,AdamW + FP32,10,o_proj,attn,model.layers.10.self_attn.o_proj.weight,2359296,2359205,91,3.8570827908035454e-05,497006,1862290,0.7893413967556424
adamw_fp32,AdamW + FP32,10,q_proj,attn,model.layers.10.self_attn.q_proj.weight,2359296,2359191,105,4.450480143225466e-05,400615,1958681,0.8301972283257378
adamw_fp32,AdamW + FP32,10,v_proj,attn,model.layers.10.self_attn.v_proj.weight,393216,393202,14,3.560384114587034e-05,73030,320186,0.8142751057942709
adamw_fp32,AdamW + FP32,11,down_proj,mlp,model.layers.11.mlp.down_proj.weight,13762560,13762130,430,3.124418712796562e-05,2744799,11017761,0.8005604335239955
adamw_fp32,AdamW + FP32,11,gate_proj,mlp,model.layers.11.mlp.gate_proj.weight,13762560,13762065,495,3.596714564735315e-05,2313474,11449086,0.8319008963448661
adamw_fp32,AdamW + FP32,11,up_proj,mlp,model.layers.11.mlp.up_proj.weight,13762560,13762077,483,3.509521484379441e-05,2499814,11262746,0.8183612641834077
adamw_fp32,AdamW + FP32,11,k_proj,attn,model.layers.11.self_attn.k_proj.weight,393216,393201,15,3.814697265625e-05,55471,337745,0.8589299519856771
adamw_fp32,AdamW + FP32,11,o_proj,attn,model.layers.11.self_attn.o_proj.weight,2359296,2359217,79,3.3484564887165114e-05,520205,1839091,0.7795083787706163
adamw_fp32,AdamW + FP32,11,q_proj,attn,model.layers.11.self_attn.q_proj.weight,2359296,2359194,102,4.323323567712034e-05,383971,1975325,0.8372518751356337
adamw_fp32,AdamW + FP32,11,v_proj,attn,model.layers.11.self_attn.v_proj.weight,393216,393204,12,3.0517578125e-05,74959,318257,0.8093694051106771
adamw_fp32,AdamW + FP32,12,down_proj,mlp,model.layers.12.mlp.down_proj.weight,13762560,13762142,418,3.0372256324406877e-05,2921369,10841191,0.7877306983584449
adamw_fp32,AdamW + FP32,12,gate_proj,mlp,model.layers.12.mlp.gate_proj.weight,13762560,13762044,516,3.7493024553580945e-05,2309628,11452932,0.8321803501674108
adamw_fp32,AdamW + FP32,12,up_proj,mlp,model.layers.12.mlp.up_proj.weight,13762560,13762085,475,3.4513927641421915e-05,2636023,11126537,0.8084641956147693
adamw_fp32,AdamW + FP32,12,k_proj,attn,model.layers.12.self_attn.k_proj.weight,393216,393202,14,3.560384114587034e-05,68001,325215,0.8270645141601562
adamw_fp32,AdamW + FP32,12,o_proj,attn,model.layers.12.self_attn.o_proj.weight,2359296,2359239,57,2.415974934899534e-05,540429,1818867,0.7709363301595052
adamw_fp32,AdamW + FP32,12,q_proj,attn,model.layers.12.self_attn.q_proj.weight,2359296,2359235,61,2.5855170355915114e-05,439452,1919844,0.8137359619140625
adamw_fp32,AdamW + FP32,12,v_proj,attn,model.layers.12.self_attn.v_proj.weight,393216,393205,11,2.797444661462034e-05,77166,316050,0.8037567138671875
adamw_fp32,AdamW + FP32,13,down_proj,mlp,model.layers.13.mlp.down_proj.weight,13762560,13762122,438,3.182547433033811e-05,2900224,10862336,0.7892671130952381
adamw_fp32,AdamW + FP32,13,gate_proj,mlp,model.layers.13.mlp.gate_proj.weight,13762560,13762097,463,3.364199683775215e-05,2497074,11265486,0.8185603550502232
adamw_fp32,AdamW + FP32,13,up_proj,mlp,model.layers.13.mlp.up_proj.weight,13762560,13762117,443,3.218877883182092e-05,2661220,11101340,0.8066333589099702
adamw_fp32,AdamW + FP32,13,k_proj,attn,model.layers.13.self_attn.k_proj.weight,393216,393192,24,6.103515625e-05,57285,335931,0.8543167114257812
adamw_fp32,AdamW + FP32,13,o_proj,attn,model.layers.13.self_attn.o_proj.weight,2359296,2359225,71,3.0093722873214546e-05,561092,1798204,0.7621782090928819
adamw_fp32,AdamW + FP32,13,q_proj,attn,model.layers.13.self_attn.q_proj.weight,2359296,2359193,103,4.365709092879477e-05,398194,1961102,0.831223381890191
adamw_fp32,AdamW + FP32,13,v_proj,attn,model.layers.13.self_attn.v_proj.weight,393216,393206,10,2.543131510412966e-05,84787,308429,0.7843755086263021
adamw_fp32,AdamW + FP32,14,down_proj,mlp,model.layers.14.mlp.down_proj.weight,13762560,13762140,420,3.0517578125e-05,2950361,10812199,0.7856241135370163
adamw_fp32,AdamW + FP32,14,gate_proj,mlp,model.layers.14.mlp.gate_proj.weight,13762560,13762076,484,3.516787574409097e-05,2683975,11078585,0.8049799601236979
adamw_fp32,AdamW + FP32,14,up_proj,mlp,model.layers.14.mlp.up_proj.weight,13762560,13762155,405,2.9427664620551575e-05,2810233,10952327,0.7958059401739211
adamw_fp32,AdamW + FP32,14,k_proj,attn,model.layers.14.self_attn.k_proj.weight,393216,393194,22,5.594889322912966e-05,73792,319424,0.8123372395833334
adamw_fp32,AdamW + FP32,14,o_proj,attn,model.layers.14.self_attn.o_proj.weight,2359296,2359229,67,2.8398301866294773e-05,593691,1765605,0.7483609517415364
adamw_fp32,AdamW + FP32,14,q_proj,attn,model.layers.14.self_attn.q_proj.weight,2359296,2359198,98,4.1537814670089546e-05,470440,1888856,0.8006015353732638
adamw_fp32,AdamW + FP32,14,v_proj,attn,model.layers.14.self_attn.v_proj.weight,393216,393211,5,1.271565755212034e-05,98535,294681,0.7494125366210938
adamw_fp32,AdamW + FP32,15,down_proj,mlp,model.layers.15.mlp.down_proj.weight,13762560,13762170,390,2.833775111610315e-05,3021744,10740816,0.7804373604910715
adamw_fp32,AdamW + FP32,15,gate_proj,mlp,model.layers.15.mlp.gate_proj.weight,13762560,13762125,435,3.1607491629448425e-05,2677375,11085185,0.8054595220656622
adamw_fp32,AdamW + FP32,15,up_proj,mlp,model.layers.15.mlp.up_proj.weight,13762560,13762135,425,3.088088262648281e-05,2812293,10950267,0.795656258719308
adamw_fp32,AdamW + FP32,15,k_proj,attn,model.layers.15.self_attn.k_proj.weight,393216,393200,16,4.069010416662966e-05,81218,311998,0.7934519449869791
adamw_fp32,AdamW + FP32,15,o_proj,attn,model.layers.15.self_attn.o_proj.weight,2359296,2359239,57,2.415974934899534e-05,573275,1786021,0.7570143805609809
adamw_fp32,AdamW + FP32,15,q_proj,attn,model.layers.15.self_attn.q_proj.weight,2359296,2359218,78,3.306070963537966e-05,492586,1866710,0.791214836968316
adamw_fp32,AdamW + FP32,15,v_proj,attn,model.layers.15.self_attn.v_proj.weight,393216,393201,15,3.814697265625e-05,84497,308719,0.7851130167643229
adamw_fp32,AdamW + FP32,16,down_proj,mlp,model.layers.16.mlp.down_proj.weight,13762560,13762153,407,2.9572986421144698e-05,2868886,10893674,0.7915441603887649
adamw_fp32,AdamW + FP32,16,gate_proj,mlp,model.layers.16.mlp.gate_proj.weight,13762560,13762106,454,3.29880487350831e-05,2622894,11139666,0.8094181605747768
adamw_fp32,AdamW + FP32,16,up_proj,mlp,model.layers.16.mlp.up_proj.weight,13762560,13762135,425,3.088088262648281e-05,2690866,11071694,0.8044792538597471
adamw_fp32,AdamW + FP32,16,k_proj,attn,model.layers.16.self_attn.k_proj.weight,393216,393196,20,5.086263020837034e-05,73625,319591,0.8127619425455729
adamw_fp32,AdamW + FP32,16,o_proj,attn,model.layers.16.self_attn.o_proj.weight,2359296,2359220,76,3.221299913191977e-05,561086,1798210,0.7621807522243924
adamw_fp32,AdamW + FP32,16,q_proj,attn,model.layers.16.self_attn.q_proj.weight,2359296,2359204,92,3.8994683159709886e-05,414578,1944718,0.8242789374457465
adamw_fp32,AdamW + FP32,16,v_proj,attn,model.layers.16.self_attn.v_proj.weight,393216,393207,9,2.288818359375e-05,87201,306015,0.7782363891601562
adamw_fp32,AdamW + FP32,17,down_proj,mlp,model.layers.17.mlp.down_proj.weight,13762560,13762146,414,3.008161272322063e-05,2868507,10894053,0.7915716988699777
adamw_fp32,AdamW + FP32,17,gate_proj,mlp,model.layers.17.mlp.gate_proj.weight,13762560,13762056,504,3.6621093750022204e-05,2634586,11127974,0.8085686093284971
adamw_fp32,AdamW + FP32,17,up_proj,mlp,model.layers.17.mlp.up_proj.weight,13762560,13762091,469,3.407796223953152e-05,2698335,11064225,0.803936549595424
adamw_fp32,AdamW + FP32,17,k_proj,attn,model.layers.17.self_attn.k_proj.weight,393216,393206,10,2.543131510412966e-05,78783,314433,0.7996444702148438
adamw_fp32,AdamW + FP32,17,o_proj,attn,model.layers.17.self_attn.o_proj.weight,2359296,2359224,72,3.0517578125e-05,512064,1847232,0.782958984375
adamw_fp32,AdamW + FP32,17,q_proj,attn,model.layers.17.self_attn.q_proj.weight,2359296,2359207,89,3.7723117404464546e-05,477370,1881926,0.7976642184787326
adamw_fp32,AdamW + FP32,17,v_proj,attn,model.layers.17.self_attn.v_proj.weight,393216,393209,7,1.780192057287966e-05,84247,308969,0.7857487996419271
