experiment,experiment_label,layer,component,type,param_name,condition_number_base,condition_number_exp,condition_number_diff,condition_number_log_ratio
adamw_grpo_fp32,AdamW + GRPO (FP32),-1,embed,embed,model.embed_tokens.weight,69.18641058154057,69.18169439546166,-0.0047161860789088905,-2.9605284987205186e-05
adamw_grpo_fp32,AdamW + GRPO (FP32),0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,10.546793843948734,10.548639744724957,0.0018459007762228197,7.600360712477458e-05
adamw_grpo_fp32,AdamW + GRPO (FP32),0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,50.790417231602824,50.788118339731525,-0.002298891871298281,-1.9657618585496558e-05
adamw_grpo_fp32,AdamW + GRPO (FP32),0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,30.557746350661454,30.55625963630976,-0.001486714351692342,-2.113007742845573e-05
adamw_grpo_fp32,AdamW + GRPO (FP32),0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,18.73935745084044,18.750332693506003,0.01097524266556249,0.00025428257449022236
adamw_grpo_fp32,AdamW + GRPO (FP32),0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,38555.79005042446,40732.06057115682,2176.2705207323597,0.023846774197130115
adamw_grpo_fp32,AdamW + GRPO (FP32),0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,184976.8751259078,183562.896970384,-1413.9781555238005,-0.0033325354285156624
adamw_grpo_fp32,AdamW + GRPO (FP32),0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,7.7755061789352835,7.7690884236842805,-0.006417755251002966,-0.00035860643797161495
adamw_grpo_fp32,AdamW + GRPO (FP32),1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,8.998430005007657,8.99979178492839,0.0013617799207334969,6.571910416178731e-05
adamw_grpo_fp32,AdamW + GRPO (FP32),1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,33.91668364456576,33.9162891318224,-0.00039451274335533526,-5.051664418340235e-06
adamw_grpo_fp32,AdamW + GRPO (FP32),1,up_proj,mlp,model.layers.1.mlp.up_proj.weight,37.735381088331756,37.73276330403634,-0.002617784295416925,-3.012898445884388e-05
adamw_grpo_fp32,AdamW + GRPO (FP32),1,k_proj,attn,model.layers.1.self_attn.k_proj.weight,30.087513316132128,30.087700202467936,0.00018688633580765668,2.6975792735934803e-06
adamw_grpo_fp32,AdamW + GRPO (FP32),1,o_proj,attn,model.layers.1.self_attn.o_proj.weight,49034.98587834326,40830.079315160074,-8204.906563183184,-0.07952583099307382
adamw_grpo_fp32,AdamW + GRPO (FP32),1,q_proj,attn,model.layers.1.self_attn.q_proj.weight,1074758.1049613138,921739.404925859,-153018.70003545482,-0.06670257465841976
